role,player_name,assigned_position,positions,team,price,avg_points,predicted_points
Starting,"Brailey, Blayke",HOK,HOK,SHA,660900.0,76,71.91447448730469
Starting,"Carrigan, Patrick",FRF,2RF|FRF,BRO,665300.0,72,72.71501159667969
Starting,"Couchman, Toby",FRF,2RF|FRF,STG,596200.0,67,70.56492614746094
Starting,"Finefeuiaki, Kulikefu",2RF,2RF,DOL,657800.0,82,85.39263153076172
Starting,"Lisati, Ativalu",2RF,2RF,MEL,269400.0,83,76.10855865478516
Starting,"Yeo, Isaah",2RF,2RF,PTH,657200.0,73,73.8918685913086
Starting,"Duffy, Tom",HFB,HFB,BRO,235600.0,91,75.76941680908203
Starting,"Gamble, Tyson",5/8,5/8|HFB,NEW,281600.0,66,58.009159088134766
Starting,"Mitchell, Latrell",CTW,CTW,STH,859000.0,109,107.04217529296875
Starting,"Jenkins, Thomas",CTW,CTW,PTH,876200.0,102,99.59587097167969
Starting,"Farnworth, Herbie",CTW,CTW,DOL,826000.0,91,95.43130493164062
Starting,"Sasagi, Simi",CTW,2RF|CTW,CBR,731300.0,87,86.53356170654297
Starting,"Faalogo, Sua",FLB,FLB,MEL,722800.0,97,90.58186340332031
Bench,"Grant, Harry",HOK,HOK,MEL,539600.0,66,61.17415237426758
Bench,"Papalii, Isaiah",FRF,2RF|FRF,PTH,631200.0,72,68.72489166259766
Bench,"Hau, Arama",FRF,2RF|FRF,GCT,583400.0,71,68.56024932861328
Bench,"Couchman, Ryan",2RF,2RF,STG,335100.0,66,69.74369812011719
Flex,"Twidle, Apa",FLEX,HFB,PAR,201400.0,88,83.22286224365234
Reserve,"Tavana, Faaletino",FLB,CTW|FLB,WST,201400.0,46,43.927371978759766
Reserve,"Gabrael, Michael",CTW,CTW,SHA,201400.0,0,43.431732177734375
Reserve,"Nanva, Araz",CTW,CTW|FLB,PAR,201400.0,44,42.97687911987305
Reserve,"Hosking, Blake",2RF,2RF,SHA,201400.0,0,36.60062026977539
Reserve,"Wakeham, Brandon",HFB,5/8|HFB,MNL,210100.0,22,24.99618148803711
Reserve,"Verhoeven, Antonio",CTW,CTW,BRO,201400.0,15,14.407139778137207
Reserve,"Fineanganofo, John",5/8,5/8|HOK,DOL,201400.0,0,0.22455111145973206
Reserve,"Martin, Myles",2RF,FRF|2RF,CBR,201400.0,0,0.06757918000221252
