role,player_name,assigned_position,positions,team,price,avg_points,predicted_points
Starting,"Brailey, Blayke",HOK,HOK,SHA,654400.0,-1.235121250152588,68.17389678955078
Starting,"May, Terrell",FRF,FRF,WST,811300.0,-1.235121250152588,83.52477264404297
Starting,"Carrigan, Patrick",FRF,2RF|FRF,BRO,636900.0,-1.235121250152588,63.623435974121094
Starting,"Young, Hudson",2RF,2RF,CBR,754000.0,-1.235121250152588,75.87303161621094
Starting,"Clark, Erin",2RF,2RF,NZL,671900.0,-1.235121250152588,71.59261322021484
Starting,"Yeo, Isaah",2RF,2RF,PTH,610100.0,-1.235121250152588,64.09701538085938
Starting,"Hughes, Jahrome",HFB,HFB,MEL,631900.0,-1.235121250152588,61.412437438964844
Starting,"Munster, Cameron",5/8,5/8,MEL,682200.0,-1.235121250152588,66.00686645507812
Starting,"Farnworth, Herbie",CTW,CTW,DOL,825600.0,-1.235121250152588,83.04454803466797
Starting,"Pasikala, Motu",CTW,FLB|CTW,NZL,201400.0,-1.235121250152588,57.83212661743164
Starting,"Hoeter, Delouise",CTW,CTW,BRO,235600.0,-1.235121250152588,50.82990900675456
Starting,"Waitere, Manaia",CTW,CTW,MEL,235600.0,-1.235121250152588,48.92462921142578
Starting,"Walsh, Reece",FLB,FLB,BRO,835600.0,-1.235121250152588,83.55004119873047
Bench,"Fineanganofo, John",HOK,5/8|HOK,DOL,201400.0,-1.235121250152588,47.21959686279297
Bench,"Williams, Jack",FRF,2RF|FRF,PAR,610000.0,-1.235121250152588,61.86106491088867
Bench,"Couchman, Toby",FRF,2RF|FRF,STG,588300.0,-1.235121250152588,60.246707916259766
Bench,"Papalii, Isaiah",2RF,2RF|FRF,PTH,579900.0,-1.235121250152588,59.12418746948242
Flex,"Fuller, Trai",FLEX,FLB,DOL,559400.0,-1.235121250152588,77.93945668538412
Reserve,"Bassingthwaite, Rex",FLB,FLB,SYD,201400.0,-1.235121250152588,57.83212661743164
Reserve,"Faeamani, Siale",CTW,CTW,GCT,201400.0,-1.235121250152588,50.264190673828125
Reserve,"Taumoepeau, Jensen",CTW,CTW,GCT,201400.0,-1.235121250152588,50.264190673828125
Reserve,"Gabrael, Michael",CTW,CTW,SHA,201400.0,-1.235121250152588,50.264190673828125
Reserve,"Walsh, James",2RF,2RF|CTW,NQC,201400.0,-1.235121250152588,42.78969955444336
Reserve,"Glover, Jonah",5/8,HFB|5/8,STH,201400.0,-1.235121250152588,42.7056770324707
Reserve,"Siegwalt, Latrell",HFB,HFB|FLB,STH,201400.0,-1.235121250152588,42.7056770324707
Reserve,"Going, Kalani",2RF,2RF|HOK,PTH,201400.0,-1.235121250152588,41.152339935302734
