role,player_name,assigned_position,positions,team,price,avg_points,predicted_points
Starting,"Brailey, Blayke",HOK,HOK,SHA,660900.0,1.5620259046554565,78.79769134521484
Starting,"Ford, Jackson",FRF,FRF,NZL,734800.0,2.080845832824707,90.16073608398438
Starting,"Carrigan, Patrick",FRF,2RF|FRF,BRO,665300.0,1.3890858888626099,71.81073760986328
Starting,"Sasagi, Simi",2RF,2RF|CTW,CBR,731300.0,2.0376110076904297,85.3887939453125
Starting,"Finefeuiaki, Kulikefu",2RF,2RF,DOL,657800.0,1.8214359283447266,84.13375091552734
Starting,"Lisati, Ativalu",2RF,2RF,MEL,269400.0,1.8646708726882935,82.9385757446289
Starting,"Twidle, Apa",HFB,HFB,PAR,201400.0,2.080845832824707,98.16795349121094
Starting,"Gamble, Tyson",5/8,5/8|HFB,NEW,281600.0,1.1296758651733398,68.38616180419922
Starting,"Mitchell, Latrell",CTW,CTW,STH,859000.0,2.988780975341797,110.8191909790039
Starting,"Jenkins, Thomas",CTW,CTW,PTH,876200.0,2.68613600730896,102.88578033447266
Starting,"Farnworth, Herbie",CTW,CTW,DOL,826000.0,2.2105510234832764,90.76428985595703
Starting,"Tago, Izack",CTW,CTW,PTH,503600.0,1.1729108095169067,66.42980194091797
Starting,"Faalogo, Sua",FLB,FLB,MEL,722800.0,2.469960927963257,92.4560775756836
Bench,"Grant, Harry",HOK,HOK,MEL,539600.0,1.1296758651733398,63.760616302490234
Bench,"Hau, Arama",FRF,2RF|FRF,GCT,583400.0,1.3458508253097534,70.52693939208984
Bench,"Papalii, Isaiah",FRF,2RF|FRF,PTH,631200.0,1.3890858888626099,70.054443359375
Bench,"Couchman, Ryan",2RF,2RF,STG,335100.0,1.1296758651733398,67.0013427734375
Flex,"Duffy, Tom",FLEX,HFB,BRO,235600.0,2.2105510234832764,91.70051574707031
Reserve,"Hanson, Luke",HFB,HFB,NZL,201400.0,1.1729108095169067,64.9694595336914
Reserve,"Tavana, Faaletino",CTW,CTW|FLB,WST,201400.0,0.2649756968021393,44.80149841308594
Reserve,"Nanva, Araz",FLB,CTW|FLB,PAR,201400.0,0.17850570380687714,43.202754974365234
Reserve,"Sua, Jonathan",CTW,CTW,BUL,216800.0,0.04880068078637123,39.40804672241211
Reserve,"Verhoeven, Antonio",CTW,CTW,BRO,201400.0,-1.0753095149993896,14.257101058959961
Reserve,"Fineanganofo, John",5/8,5/8|HOK,DOL,201400.0,-1.72383451461792,5.3612236976623535
Reserve,"Foley, Reece",2RF,5/8|2RF,SYD,201400.0,-1.72383451461792,4.811194896697998
Reserve,"Martin, Myles",2RF,FRF|2RF,CBR,201400.0,-1.72383451461792,3.382842779159546
