role,player_name,assigned_position,positions,team,price,avg_points,predicted_points
Starting,"Brailey, Blayke",HOK,HOK,SHA,665200.0,1.4310686588287354,74.46676635742188
Starting,"Twal, Alex",FRF,FRF|2RF,WST,548600.0,1.6432291269302368,78.93400573730469
Starting,"Papalii, Isaiah",FRF,2RF|FRF,PTH,645400.0,1.6432291269302368,76.99951171875
Starting,"Lisati, Ativalu",2RF,2RF,MEL,269400.0,1.8553897142410278,84.94705200195312
Starting,"Tuilagi, Kelma",2RF,2RF,PAR,567300.0,1.6007970571517944,79.52609252929688
Starting,"Riki, Jordan",2RF,2RF,BRO,623400.0,1.4310686588287354,77.94731140136719
Starting,"Campbell, Jayden",HFB,HFB,GCT,711400.0,2.449439287185669,96.23507690429688
Starting,"Gamble, Tyson",5/8,5/8|HFB,NEW,281600.0,1.13404381275177,67.14595031738281
Starting,"Jenkins, Thomas",CTW,CTW,PTH,782500.0,2.9586243629455566,112.85128784179688
Starting,"Mitchell, Latrell",CTW,CTW,STH,679100.0,2.1099822521209717,95.29448699951172
Starting,"Warbrick, William",CTW,CTW,MEL,560300.0,1.8553897142410278,87.37217712402344
Starting,"Sasagi, Simi",CTW,2RF|CTW,CBR,528600.0,1.558364987373352,75.272216796875
Starting,"Faalogo, Sua",FLB,FLB,MEL,752000.0,3.0434885025024414,113.7183609008789
Bench,"Cook, Damien",HOK,HOK,STG,557800.0,1.346204400062561,72.08056640625
Bench,"Hau, Arama",FRF,2RF|FRF,GCT,421600.0,1.4310686588287354,74.25150299072266
Bench,"Carrigan, Patrick",FRF,2RF|FRF,BRO,654200.0,1.3037723302841187,71.0147705078125
Bench,"Martin, Noah",2RF,2RF,CBR,431500.0,1.558364987373352,77.52642822265625
Flex,"Finefeuiaki, Kulikefu",FLEX,2RF,DOL,621200.0,2.1099822521209717,91.7228775024414
Reserve,"Hanson, Luke",HFB,HFB,NZL,201400.0,1.176476001739502,65.3763198852539
Reserve,"Tavana, Faaletino",FLB,CTW|FLB,WST,201400.0,0.07324112951755524,44.370765686035156
Reserve,"Fineanganofo, John",5/8,5/8|HOK,DOL,201400.0,-1.6664752960205078,6.147186756134033
Reserve,"Taumoepeau, Jensen",CTW,CTW,GCT,201400.0,-1.6664752960205078,5.820483207702637
Reserve,"Hoeter, Delouise",CTW,CTW,BRO,235600.0,-1.6664752960205078,5.763228416442871
Reserve,"Foley, Reece",2RF,5/8|2RF,SYD,201400.0,-1.6664752960205078,5.278059959411621
Reserve,"Pasikala, Motu",CTW,FLB|CTW,NZL,201400.0,-1.6664752960205078,4.1263909339904785
Reserve,"Martin, Myles",2RF,FRF|2RF,CBR,201400.0,-1.6664752960205078,3.5891544818878174
