player_name,team,positions,price,predicted_points,is_starter,in_ideal_team,status
"Grant, Harry",MEL,HOK,539600.0,62.149208068847656,True,False,consider_dropping
"Ford, Jackson",NZL,FRF,734800.0,88.4542236328125,True,True,keep
"Williams, Jack",PAR,2RF|FRF,581300.0,61.72370147705078,True,False,consider_dropping
"Wong, Siua",SYD,2RF,603600.0,68.50336456298828,True,False,consider_dropping
"Martin, Noah",CBR,2RF,517600.0,69.85897827148438,True,False,consider_dropping
"Cleary, Nathan",PTH,HFB,866200.0,91.6341323852539,True,False,consider_dropping
"Munster, Cameron",MEL,5/8,530300.0,56.02735137939453,True,False,consider_dropping
"Jenkins, Thomas",PTH,CTW,876200.0,99.79820251464844,True,True,keep
"Mitchell, Latrell",STH,CTW,859000.0,110.11686706542969,True,True,keep
"Farnworth, Herbie",DOL,CTW,826000.0,91.94601440429688,True,False,consider_dropping
"Chester, Tom",NQC,CTW|FLB,499300.0,70.21744537353516,True,True,keep
"Edwards, Dylan",PTH,FLB,730800.0,77.18547058105469,True,False,consider_dropping
"Tu, Setu",STG,CTW,394400.0,57.895050048828125,True,False,consider_dropping
"Going, Kalani",PTH,2RF|HOK,201400.0,17.122812271118164,False,False,consider_dropping
"Fineanganofo, John",DOL,5/8|HOK,201400.0,5.725872039794922,False,False,consider_dropping
"Hau, Arama",GCT,2RF|FRF,583400.0,70.84510803222656,False,False,consider_dropping
"Clarke, Cooper",MEL,FRF,354000.0,42.776573181152344,True,False,consider_dropping
"Young, Hudson",CBR,2RF,776300.0,85.28759765625,False,False,consider_dropping
"Funa-Iuta, Jezaiah",PAR,2RF,201400.0,3.366239070892334,False,False,consider_dropping
"Foley, Reece",SYD,5/8|2RF,201400.0,3.9160211086273193,False,False,consider_dropping
"Harrison, Zane",GCT,HFB,201400.0,3.599632740020752,False,False,consider_dropping
"Wakeham, Brandon",MNL,5/8|HFB,210100.0,23.758831024169922,True,True,keep
"Young, Dominic",NEW,CTW,614500.0,68.31432342529297,True,False,consider_dropping
"Faeamani, Sialetili",GCT,CTW,411200.0,53.26567077636719,False,False,consider_dropping
"Leo, Moses",MEL,CTW,294500.0,43.00065994262695,False,False,consider_dropping
"Pasikala, Motu",NZL,FLB|CTW,201400.0,2.2896900177001953,False,False,consider_dropping
