role,player_name,assigned_position,positions,team,price,avg_points,predicted_points
Starting,"Brailey, Blayke",HOK,HOK,SHA,597100.0,70,68.87811279296875
Starting,"Couchman, Toby",FRF,2RF|FRF,STG,606700.0,72,73.98164367675781
Starting,"Faasuamaleaui, Tino",FRF,2RF|FRF,GCT,694300.0,68,70.24793243408203
Starting,"Sasagi, Simi",2RF,2RF|CTW,CBR,758700.0,83,82.79449462890625
Starting,"Couchman, Ryan",2RF,2RF,STG,758200.0,76,79.54102325439453
Starting,"Young, Hudson",2RF,2RF,CBR,674100.0,80,79.31722259521484
Starting,"Hynes, Nicholas",HFB,HFB,SHA,874900.0,99,94.70735168457031
Starting,"Gamble, Tyson",5/8,5/8|HFB,NEW,281600.0,66,65.15387725830078
Starting,"Penitani, Talanoa",CTW,CTW,STH,201400.0,97,99.51823425292969
Starting,"Farnworth, Herbie",CTW,CTW,DOL,761900.0,89,90.40335083007812
Starting,"Isaako, Jamayne",CTW,CTW,DOL,701900.0,81,82.84294891357422
Starting,"Jenkins, Thomas",CTW,CTW,PTH,647000.0,81,81.8121337890625
Starting,"Edwards, Dylan",FLB,FLB,PTH,581400.0,74,77.70105743408203
Bench,"Walters, Billy",HOK,5/8|HOK,BRO,497200.0,55,52.56541061401367
Bench,"Papalii, Isaiah",FRF,2RF|FRF,PTH,642300.0,71,69.97213745117188
Bench,"Carrigan, Patrick",FRF,2RF|FRF,BRO,584100.0,69,67.96641540527344
Bench,"Pouniu, Brian",2RF,2RF,DOL,201400.0,60,61.9676513671875
Flex,"Watson, Hayden",FLEX,HFB,MEL,201400.0,70,69.4095458984375
Reserve,"Saukuru, Solomone",CTW,CTW,WST,201400.0,73,69.8790512084961
Reserve,"Rodwell, Toby",HFB,HFB,SYD,201400.0,61,67.09051513671875
Reserve,"Coates, Phillip",CTW,CTW,BRO,201400.0,52,50.55571365356445
Reserve,"Bassingthwaighte, Rex",FLB,FLB,SYD,201400.0,28,28.050954818725586
Reserve,"Peel, Hugo",CTW,FLB|CTW,MEL,201400.0,24,24.79239845275879
Reserve,"Brailey, Jayden",2RF,2RF|HOK,CBR,267300.0,24,24.059144973754883
Reserve,"Reed, Kade",5/8,5/8,STG,201400.0,18,21.1461124420166
Reserve,"Hetherington, Jack",2RF,2RF|FRF,MEL,201400.0,19,19.137123107910156
