player_id,player_name,team,bye_round,price,current_round,vs_team,venue,jersey_number,total_points,avg_points,total_minutes,avg_minutes,points_per_minute,base_ppm,pts_base,pts_attack,pts_create,pts_evade,pts_negative,base_power_pts,base_power_ppm,avg_base_power,stat_tries,stat_try_assists,stat_last_touch,stat_goals,stat_missed_goals,stat_field_goals,stat_missed_fg,stat_tackles,stat_missed_tackles,stat_tackle_breaks,stat_forced_dropouts,stat_offloads,stat_ineff_offloads,stat_line_breaks,stat_lb_assists,stat_forty_twenty,stat_kick_regather,stat_hitups_h8,stat_hitups_hu,pct_h8,stat_held_goal,stat_intercept,stat_kicked_dead,stat_penalties,stat_errors,stat_sinbin,avg_last3,avg_last5,season_avg,surface,avg_penalties,avg_errors,avg_pc_er,pct_tackle_break,pct_missed_tackle,pct_offload,round_price_change,season_price_change,pct_60plus,end_price,start_price,avg_minutes_calc,games_played,std_dev_total,std_dev_round,cv_round,coeff_variation,avg_r1_9,avg_r10_18,avg_r19_27,avg_base,avg_scoring,avg_create,avg_evade,avg_negative,magic_number,avg_last2,avg_mins_last3,avg_mins_last5,break_even,pct_base,weather,positions,scrape_date,scrape_year
1105,"Katoa, Sione",SHA,07,517500,06,SYD,,2,18,58,80,80,0.23,0.18,14,0,0,10,-6,24,0.30,,0,0,0,0,0,0,0,2,-1,10,0,0,0,0,0,0,0,10,3,62.5,0,0,0,0,-6,0,45,51,58,,0,0,0,62.5,33.3,0,-35800,-30100,0,517500,547600,80,6,22.51,22.51,0.39,0.39,0,0,0,14,0,0,10,-6,11500,42,80,80,86,58,,CTW,2026-04-29,2026
1106,"Katoa, Sione",SHA,07,517500,Totals,,,,348,58,480,80,0.73,0.33,158,34,0,172,-16,270,0.56,45.00,34,0,0,0,0,0,0,9,-7,94,0,16,2,60,0,0,0,106,50,51.5,0,0,0,-2,-14,0,45,51,0,,-0.3,-2.3,-2.6,45.6,0,4.9,0,-30100,50,517500,547600,0,6,22.51,22.51,0.39,0.39,58,0,0,26,6,0,29,-3,0,42,80,80,90,43,,CTW,2026-04-29,2026
1107,"Kaufusi, Felise",DOL,06,341100,01,STH,,16,28,28,37,37,0.76,0.76,28,0,0,0,0,28,0.76,,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,10,0,100.0,0,0,0,0,0,0,0,0,28,,0,0,0,0,0,0,0,0,0,273600,341100,37,1,0,0,0,0,0,0,0,28,0,0,0,0,12182,0,0,0,48,100,,FRF,2026-04-29,2026
1108,"Kaufusi, Felise",DOL,06,341100,02,GCT,,16,32,30,36,37,0.89,0.94,34,0,0,0,-2,34,0.94,,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,6,1,75.0,0,0,0,-2,0,0,0,0,30,,0,0,0,0,0,0,0,0,0,273600,341100,37,2,0,2,0.07,0,0,0,0,34,0,0,0,-2,11370,30,0,0,47,100,,FRF,2026-04-29,2026
1109,"Kaufusi, Felise",DOL,06,326300,03,SHA,,16,31,30,41,38,0.76,0.8,33,0,0,0,-2,33,0.80,,0,0,0,0,0,0,0,21,-2,0,0,0,0,0,0,0,0,12,2,75.0,0,0,0,-2,0,0,30,0,30,,0,0,0,0,8.7,0,-14800,-14800,0,273600,341100,38,3,0,1.7,0.06,0,0,0,0,33,0,0,0,-2,10877,32,38,0,42,100,,FRF,2026-04-29,2026
1110,"Kaufusi, Felise",DOL,06,320100,04,BRO,,10,35,32,38,38,0.92,0.92,35,0,0,0,0,35,0.92,,0,0,0,0,0,0,0,25,-2,0,0,0,0,0,0,0,0,10,2,71.4,0,0,0,0,0,0,33,0,32,,0,0,0,0,7.4,0,-6200,-21000,0,273600,341100,38,4,0,2.5,0.08,0,0,0,0,35,0,0,0,0,9700,33,38,0,38,100,,FRF,2026-04-29,2026
1111,"Kaufusi, Felise",DOL,06,312400,05,MNL,,10,28,31,26,36,1.08,0.92,24,0,0,6,-2,30,1.15,,0,0,0,0,0,0,0,21,-1,2,0,4,0,0,0,0,0,4,0,100.0,0,0,0,-2,0,0,31,31,31,,0,0,0,50,4.5,50,-7700,-28700,0,273600,341100,36,5,0,2.64,0.09,0,0,0,0,24,0,0,6,-2,10077,32,35,36,38,80,,FRF,2026-04-29,2026
1112,"Kaufusi, Felise",DOL,06,294800,07,PTH,,10,19,29,18,33,1.06,0.94,17,0,0,2,0,19,1.06,,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,8,1,80.0,0,0,0,0,0,0,27,29,29,,0,0,0,20,0,0,-17600,-46300,0,273600,341100,33,6,0,5.01,0.17,0,0,0,0,17,0,0,2,0,10919,24,27,32,51,89,,FRF,2026-04-29,2026
1113,"Kaufusi, Felise",DOL,06,273600,08,NZL,,16,25,28,28,32,0.89,0.96,27,0,0,0,-2,27,0.96,,0,0,0,0,0,0,0,20,-1,0,0,0,0,0,0,0,0,6,2,60.0,0,0,0,0,-2,0,24,28,28,,0,0,0,0,4.8,0,-21200,-67500,0,273600,341100,32,7,4.83,4.83,0.17,0.17,0,0,0,27,0,0,0,-2,11400,22,24,30,47,100,,FRF,2026-04-29,2026
1114,"Kaufusi, Felise",DOL,06,273600,Totals,,,,198,28,224,32,0.88,0.88,198,0,0,8,-8,206,0.92,29.43,0,0,0,0,0,0,0,140,-6,4,0,4,0,0,0,0,0,56,8,77.8,0,0,0,-6,-2,0,24,28,0,,-0.9,-0.3,-1.2,5.6,0,2.8,0,-67500,0,273600,341100,0,7,4.83,4.83,0.17,0.17,28,0,0,28,0,0,1,-1,0,22,24,30,47,96,,FRF,2026-04-29,2026
