player_id,player_name,team,bye_round,price,current_round,vs_team,venue,jersey_number,total_points,avg_points,total_minutes,avg_minutes,points_per_minute,base_ppm,pts_base,pts_attack,pts_create,pts_evade,pts_negative,base_power_pts,base_power_ppm,avg_base_power,stat_tries,stat_try_assists,stat_last_touch,stat_goals,stat_missed_goals,stat_field_goals,stat_missed_fg,stat_tackles,stat_missed_tackles,stat_tackle_breaks,stat_forced_dropouts,stat_offloads,stat_ineff_offloads,stat_line_breaks,stat_lb_assists,stat_forty_twenty,stat_kick_regather,stat_hitups_h8,stat_hitups_hu,pct_h8,stat_held_goal,stat_intercept,stat_kicked_dead,stat_penalties,stat_errors,stat_sinbin,avg_last3,avg_last5,season_avg,surface,avg_penalties,avg_errors,avg_pc_er,pct_tackle_break,pct_missed_tackle,pct_offload,round_price_change,season_price_change,pct_60plus,end_price,start_price,avg_minutes_calc,games_played,std_dev_total,std_dev_round,cv_round,coeff_variation,avg_r1_9,avg_r10_18,avg_r19_27,avg_base,avg_scoring,avg_create,avg_evade,avg_negative,magic_number,avg_last2,avg_mins_last3,avg_mins_last5,break_even,pct_base,weather,positions,scrape_date,scrape_year
5336,"Randall, Chris",GCT,01,432400,26,DOL,,11,76,47,80,67,0.95,0.7,56,0,20,6,-6,62,0.78,,0,12,0,0,0,0,0,34,-2,6,0,0,0,0,8,0,0,16,8,50.0,0,0,0,0,-6,0,56,46,47,,0,0,0,18.8,5.6,0,19200,-77900,0,444800,510300,67,22,0,21.18,0.45,0,0,0,0,56,0,20,6,-6,7721,62,80,67,26,68,,HOK|2RF,2026-02-27,2025
5337,"Randall, Chris",GCT,01,444800,27,WST,,11,44,47,80,67,0.55,0.55,44,0,0,2,-2,46,0.58,,0,0,0,0,0,0,0,35,-2,2,0,0,0,0,0,0,0,8,3,57.1,0,0,0,-2,0,0,56,51,47,,0,0,0,14.3,5.4,0,12400,-65500,0,444800,510300,67,23,20.72,20.72,0.44,0.44,0,0,0,44,0,0,2,-2,7943,60,80,80,0,96,,HOK|2RF,2026-02-27,2025
5338,"Randall, Chris",GCT,01,444800,Totals,,,,1074,47,1545,67,0.7,0.61,943,40,43,100,-52,1003,0.65,43.61,34,24,8,0,0,0,0,725,-49,60,6,0,0,40,8,0,0,186,81,53.4,6,0,-3,-22,-22,-8,56,51,0,,-1,-1,-2,17.2,-57.1,0,0,-65500,17,444800,510300,0,23,20.72,20.72,0.44,0.44,35,58,49,41,2,2,4,-2,0,60,80,80,38,84,,HOK|2RF,2026-02-27,2025
5339,"Rasmussen, Elijah",DOL,13,198800,Totals,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,198800,198800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,,,CTW,2026-02-27,2025
5340,"Ravalawa, Mikaele",STH,12,433200,03,SHA,,18,29,29,80,80,0.36,0.3,24,0,0,7,-2,26,0.33,,0,0,0,0,0,0,0,2,-4,2,0,0,0,0,0,0,0,18,8,52.9,0,5,0,0,-2,0,0,0,29,,0,0,0,5.9,66.7,0,0,0,0,391300,433200,80,1,0,0,0,0,0,0,0,24,0,0,7,-2,14938,0,0,0,77,77,,CTW,2026-02-27,2025
5341,"Ravalawa, Mikaele",STH,12,433200,04,PTH,,5,39,34,80,80,0.49,0.41,33,0,0,6,0,39,0.49,,0,0,0,0,0,0,0,2,-2,6,0,0,0,0,0,0,0,22,11,50.0,0,0,0,0,0,0,0,0,34,,0,0,0,13.6,50,0,0,0,0,391300,433200,80,2,0,5,0.15,0,0,0,0,33,0,0,6,0,12741,34,0,0,65,85,,CTW,2026-02-27,2025
5342,"Ravalawa, Mikaele",STH,12,391300,05,SYD,,5,14,27,48,69,0.29,0.21,10,0,0,4,0,14,0.29,,0,0,0,0,0,0,0,0,-2,4,0,0,0,0,0,0,0,8,4,50.0,0,0,0,0,0,0,27,0,27,,0,0,0,25,100,0,-41900,-41900,0,391300,433200,69,3,10.27,10.27,0.38,0.38,0,0,0,10,0,0,4,0,14493,27,69,0,67,71,,CTW,2026-02-27,2025
5343,"Ravalawa, Mikaele",STH,12,391300,Totals,,,,82,27,208,69,0.39,0.32,67,0,0,17,-2,79,0.38,26.33,0,0,0,0,0,0,0,4,-8,12,0,0,0,0,0,0,0,48,23,51.1,0,5,0,0,-2,0,27,0,0,,0,-0.7,-0.7,12.8,0,0,0,-41900,0,391300,433200,0,3,10.27,10.27,0.38,0.38,27,0,0,22,0,0,6,-1,0,27,69,0,86,80,,CTW,2026-02-27,2025
5344,"Reynolds, Adam",BRO,12,500700,01,SYD,,7,105,105,80,80,1.31,0.24,19,22,60,6,-2,25,0.31,,0,36,4,28,-6,0,0,18,-2,6,12,0,0,0,8,0,0,0,3,0.0,0,0,0,0,-2,0,0,0,105,,0,0,0,100,10,0,0,0,0,531600,500700,80,1,0,0,0,0,0,0,0,19,22,60,6,-2,4769,0,0,0,-51,18,,HFB,2026-02-27,2025
5345,"Reynolds, Adam",BRO,12,500700,02,CBR,,7,69,87,80,80,0.86,0.19,15,10,44,2,-2,17,0.21,,0,24,4,12,-2,0,0,20,-7,2,6,0,0,0,0,10,0,0,2,0.0,0,0,0,0,-2,0,0,0,87,,0,0,0,50,25.9,0,0,0,0,531600,500700,80,2,0,18,0.21,0,0,0,0,15,10,44,2,-2,5755,87,0,0,-15,21,,HFB,2026-02-27,2025
